epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,4,,,,,,,0.4444444477558136,0.9885938167572021
0,4,,,0.4507042169570923,,1.0523769855499268,,,
1,9,,,,,,,0.6111111044883728,0.907644510269165
1,9,,,0.6338028311729431,,0.9626930356025696,,,
2,14,,,,,,,0.8333333134651184,0.8323903679847717
2,14,,,0.7394366264343262,,0.8793261647224426,,,
3,19,,,,,,,0.8888888955116272,0.7624989151954651
3,19,,,0.8239436745643616,,0.8125860691070557,,,
4,24,,,,,,,0.9444444179534912,0.6984209418296814
4,24,,,0.8450704216957092,,0.7486100792884827,,,
5,29,,,,,,,0.9444444179534912,0.6404361128807068
5,29,,,0.8732394576072693,,0.6716236472129822,,,
6,34,,,,,,,0.9444444179534912,0.5870456099510193
6,34,,,0.908450722694397,,0.6275020837783813,,,
7,39,,,,,,,1.0,0.5383661389350891
7,39,,,0.9154929518699646,,0.5818517208099365,,,
8,44,,,,,,,1.0,0.4933505654335022
8,44,,,0.9366196990013123,,0.5292283892631531,,,
9,49,,,,0.8571428656578064,,0.5131592154502869,,
9,49,,,,,,,1.0,0.45186102390289307
9,49,,,0.9154929518699646,,0.4980996251106262,,,
10,50,1.0,0.37729623913764954,,,,,,
