epoch,step,train_acc_epoch,train_acc_step,train_accuracy_epoch,train_accuracy_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,22,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.3611111044883728,2.1228466033935547,0.3611111044883728,0.3611111044883728
0,22,0.18333333730697632,,0.18333333730697632,,0.18333333730697632,,2.2337162494659424,,0.18333333730697632,,0.18333333730697632,,,,,,,
1,45,,,,,,,,,,,,,0.3055555522441864,0.3055555522441864,0.3055555522441864,2.0110578536987305,0.3055555522441864,0.3055555522441864
1,45,0.3125,,0.3125,,0.3125,,2.066915273666382,,0.3125,,0.3125,,,,,,,
2,49,,0.34375,,0.34375,,0.34375,,2.016963005065918,,0.34375,,0.34375,,,,,,
2,68,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.3611111044883728,1.9245257377624512,0.3611111044883728,0.3611111044883728
2,68,0.3097222149372101,,0.3097222149372101,,0.3097222149372101,,1.9688994884490967,,0.3097222149372101,,0.3097222149372101,,,,,,,
3,91,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.3611111044883728,1.8506191968917847,0.3611111044883728,0.3611111044883728
3,91,0.3222222328186035,,0.3222222328186035,,0.3222222328186035,,1.8757507801055908,,0.3222222328186035,,0.3222222328186035,,,,,,,
4,99,,0.4375,,0.4375,,0.4375,,1.7448400259017944,,0.4375,,0.4375,,,,,,
4,114,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.3611111044883728,1.7932864427566528,0.3611111044883728,0.3611111044883728
4,114,0.3402777910232544,,0.3402777910232544,,0.3402777910232544,,1.7920154333114624,,0.3402777910232544,,0.3402777910232544,,,,,,,
5,137,,,,,,,,,,,,,0.4166666567325592,0.4166666567325592,0.4166666567325592,1.740251064300537,0.4166666567325592,0.4166666567325592
5,137,0.35972222685813904,,0.35972222685813904,,0.35972222685813904,,1.740049123764038,,0.35972222685813904,,0.35972222685813904,,,,,,,
6,149,,0.28125,,0.28125,,0.28125,,1.8347020149230957,,0.28125,,0.28125,,,,,,
6,160,,,,,,,,,,,,,0.4166666567325592,0.4166666567325592,0.4166666567325592,1.6967943906784058,0.4166666567325592,0.4166666567325592
6,160,0.34861111640930176,,0.34861111640930176,,0.34861111640930176,,1.7055633068084717,,0.34861111640930176,,0.34861111640930176,,,,,,,
7,183,,,,,,,,,,,,,0.4444444477558136,0.4444444477558136,0.4444444477558136,1.6566780805587769,0.4444444477558136,0.4444444477558136
7,183,0.3777777850627899,,0.3777777850627899,,0.3777777850627899,,1.665792465209961,,0.3777777850627899,,0.3777777850627899,,,,,,,
8,199,,0.46875,,0.46875,,0.46875,,1.5330147743225098,,0.46875,,0.46875,,,,,,
8,206,,,,,,,,,,,,,0.4444444477558136,0.4444444477558136,0.4444444477558136,1.6197868585586548,0.4444444477558136,0.4444444477558136
8,206,0.38749998807907104,,0.38749998807907104,,0.38749998807907104,,1.6340718269348145,,0.38749998807907104,,0.38749998807907104,,,,,,,
9,229,,,,,,,,,,,,,0.4444444477558136,0.4444444477558136,0.4444444477558136,1.5905346870422363,0.4444444477558136,0.4444444477558136
9,229,0.3986110985279083,,0.3986110985279083,,0.3986110985279083,,1.599750280380249,,0.3986110985279083,,0.3986110985279083,,,,,,,
10,249,,0.34375,,0.34375,,0.34375,,1.6309539079666138,,0.34375,,0.34375,,,,,,
10,252,,,,,,,,,,,,,0.4444444477558136,0.4444444477558136,0.4444444477558136,1.55991792678833,0.4444444477558136,0.4444444477558136
10,252,0.40416666865348816,,0.40416666865348816,,0.40416666865348816,,1.5717302560806274,,0.40416666865348816,,0.40416666865348816,,,,,,,
11,275,,,,,,,,,,,,,0.4444444477558136,0.4444444477558136,0.4444444477558136,1.5370516777038574,0.4444444477558136,0.4444444477558136
11,275,0.4236111044883728,,0.4236111044883728,,0.4236111044883728,,1.549925446510315,,0.4236111044883728,,0.4236111044883728,,,,,,,
12,298,,,,,,,,,,,,,0.5,0.5,0.5,1.5097861289978027,0.5,0.5
12,298,0.42916667461395264,,0.42916667461395264,,0.42916667461395264,,1.5288640260696411,,0.42916667461395264,,0.42916667461395264,,,,,,,
13,299,,0.34375,,0.34375,,0.34375,,1.5831094980239868,,0.34375,,0.34375,,,,,,
13,321,,,,,,,,,,,,,0.5,0.5,0.5,1.4895182847976685,0.5,0.5
13,321,0.4402777850627899,,0.4402777850627899,,0.4402777850627899,,1.5082346200942993,,0.4402777850627899,,0.4402777850627899,,,,,,,
14,344,,,,,,,,,,,,,0.5,0.5,0.5,1.4650416374206543,0.5,0.5
14,344,0.45972222089767456,,0.45972222089767456,,0.45972222089767456,,1.465941309928894,,0.45972222089767456,,0.45972222089767456,,,,,,,
15,349,,0.21875,,0.21875,,0.21875,,1.72064208984375,,0.21875,,0.21875,,,,,,
